cell_type,tissue,deg_set,overlap,markers_total,deg_total,odds_ratio,p_value,pct_markers_in_deg,p_adjust,significant,neg_log10_p
Vascular,root,root_cond_down,13,1002,188,1.5479820886898743,0.09405569229674098,1.2974051896207586,0.5173063076320753,False,0.28625222610840584
Vascular_WOX4,root,root_cond_down,15,910,188,2.0056511770594505,0.012625089668550974,1.6483516483516483,0.11110078908324858,False,0.9542828565111249
Xylem,root,root_cond_down,13,1167,188,1.3160287199801932,0.20915376467574384,1.113967437874893,0.7461701874918429,False,0.127162106764543
Epidermis,root,root_int_up,4,1057,33,2.7114647804302976,0.0739596304568711,0.3784295175023652,0.44375778274122657,False,0.3528540170986998
Exodermis,root,root_int_up,2,1405,33,0.9357827696410916,0.6373136334131524,0.1423487544483986,1.0,False,-0.0
Cortex,root,root_int_up,2,1748,33,0.7392750249418024,0.7547423678256349,0.11441647597254005,1.0,False,-0.0
Cortex_ACT2,root,root_int_up,12,465,33,26.86849574266793,1.835503763152598e-12,2.5806451612903225,2.422864967361429e-10,True,9.615670789562026
Endodermis,root,root_int_up,0,1396,33,0.0,1.0,0.0,1.0,False,-0.0
Meristematic_Cortex,root,root_int_up,2,1723,33,0.750951247399299,0.7473794314473048,0.11607661056297155,1.0,False,-0.0
Meristematic_Zone,root,root_int_up,1,1112,33,0.5806143114311431,0.8227506292811706,0.08992805755395683,1.0,False,-0.0
Phloem,root,root_int_up,0,1483,33,0.0,1.0,0.0,1.0,False,-0.0
Vascular,root,root_int_up,3,1002,33,2.0774774774774776,0.19256240831766802,0.2994011976047904,0.7060621638314495,False,0.15115706067557422
Vascular_WOX4,root,root_int_up,2,910,33,1.4810999005257923,0.40357124212376544,0.21978021978021978,1.0,False,-0.0
Xylem,root,root_int_up,1,1167,33,0.5517527873070326,0.8376781642794844,0.0856898029134533,1.0,False,-0.0
Epidermis,root,root_int_down,0,1057,14,0.0,1.0,0.0,1.0,False,-0.0
Exodermis,root,root_int_down,1,1405,14,1.115932500547885,0.6068604395632964,0.0711743772241993,1.0,False,-0.0
Cortex,root,root_int_down,1,1748,14,0.8817313196248514,0.6900312539218026,0.057208237986270026,1.0,False,-0.0
Cortex_ACT2,root,root_int_down,0,465,14,0.0,1.0,0.0,1.0,False,-0.0
Endodermis,root,root_int_down,1,1396,14,1.1236283429831817,0.6044221924144232,0.07163323782234957,1.0,False,-0.0
Meristematic_Cortex,root,root_int_down,1,1723,14,0.8956490663807737,0.684571175459975,0.05803830528148578,1.0,False,-0.0
Meristematic_Zone,root,root_int_down,1,1112,14,1.4305199750744306,0.5198680985182424,0.08992805755395683,1.0,False,-0.0
Phloem,root,root_int_down,1,1483,14,1.0531506280494134,0.6274149251836302,0.06743088334457181,1.0,False,-0.0
Vascular,root,root_int_down,1,1002,14,1.5961730577115192,0.482827540670518,0.0998003992015968,1.0,False,-0.0
Vascular_WOX4,root,root_int_down,1,910,14,1.7655073199627656,0.44982869489355615,0.10989010989010989,1.0,False,-0.0
Xylem,root,root_int_down,1,1167,14,1.3594141707349254,0.5374500108049822,0.0856898029134533,1.0,False,-0.0
Cluster_0,leaf,leaf_light_up,8,100,2611,0.6374918572216005,0.9236956203883628,8.0,1.0,False,-0.0
Cluster_1,leaf,leaf_light_up,11,100,2611,0.907286084701815,0.6651042166697134,11.0,1.0,False,-0.0
Cluster_10,leaf,leaf_light_up,15,100,2611,1.2976978156439771,0.21412417331634007,15.0,0.5302122386880802,False,0.2755502518323592
Cluster_11,leaf,leaf_light_up,12,100,2611,1.0014516072615343,0.5441657828151687,12.0,1.0,False,-0.0
Cluster_12,leaf,leaf_light_up,62,100,2611,12.24932378022341,2.1081469307839904e-32,62.0,1.6443546060115126e-30,True,29.78400452084257
Cluster_2,leaf,leaf_light_up,8,100,2611,0.6374918572216005,0.9236956203883628,8.0,1.0,False,-0.0
Cluster_3,leaf,leaf_light_up,10,100,2611,0.815284719552309,0.7735690824650331,10.0,1.0,False,-0.0
Cluster_4,leaf,leaf_light_up,15,100,2611,1.2976978156439771,0.21412417331634007,15.0,0.5302122386880802,False,0.2755502518323592
Cluster_5,leaf,leaf_light_up,4,100,2611,0.3049322337297021,0.9985560794149717,4.0,1.0,False,-0.0
Cluster_6,leaf,leaf_light_up,6,100,2611,0.467537877240985,0.9847843700961937,6.0,1.0,False,-0.0
Cluster_7,leaf,leaf_light_up,15,100,2611,1.2976978156439771,0.21412417331634007,15.0,0.5302122386880802,False,0.2755502518323592
Cluster_8,leaf,leaf_light_up,16,100,2611,1.401302871823103,0.13983691207570628,16.0,0.39266042263214374,False,0.40598287030754127
Cluster_9,leaf,leaf_light_up,18,100,2611,1.6163310225466312,0.05013041075832467,18.0,0.17000747996301407,False,0.7695319701793899
