"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","deg_set"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0458405398632816,0.0131599635971143,"101254319",1,"root_cond_Cortex_up"
"Metabolism","Carbohydrate metabolism","sly00052","Galactose metabolism","1/6","66/11892",0.0151515151515152,30.030303030303,5.31338825490185,0.0328478833670615,0.0458405398632816,0.0131599635971143,"778304",1,"root_cond_Cortex_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/6","67/11892",0.0149253731343284,29.5820895522388,5.27105750289472,0.033338574446023,0.0458405398632816,0.0131599635971143,"101254319",1,"root_cond_Cortex_up"
"Metabolism","Carbohydrate metabolism","sly00500","Starch and sucrose metabolism","1/6","154/11892",0.00649350649350649,12.8701298701299,3.33108511781776,0.0752421243624554,0.0869993591509843,0.02497589257923,"778304",1,"root_cond_Cortex_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/6","167/11892",0.00598802395209581,11.8682634730539,3.17781726258966,0.0813715310783745,0.0869993591509843,0.02497589257923,"101268402",1,"root_cond_Cortex_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","1/6","179/11892",0.00558659217877095,11.072625698324,3.05071818873779,0.0869993591509843,0.0869993591509843,0.02497589257923,"101249975",1,"root_cond_Cortex_up"
"Metabolism","Glycan biosynthesis and metabolism","sly00511","Other glycan degradation","1/3","14/11892",0.0714285714285714,283.142857142857,16.7787101103059,0.00352792619972664,0.0176084848119296,0.00308920786174203,"101245292",1,"root_cond_Endodermis_down"
"Metabolism","Lipid metabolism","sly00600","Sphingolipid metabolism","1/3","34/11892",0.0294117647058824,116.588235294118,10.721227761177,0.00855341260648934,0.0176084848119296,0.00308920786174203,"101245292",1,"root_cond_Endodermis_down"
NA,NA,"sly04382","Cornified envelope formation","1/3","35/11892",0.0285714285714286,113.257142857143,10.564714132297,0.00880424240596478,0.0176084848119296,0.00308920786174203,"101245292",1,"root_cond_Endodermis_down"
"Cellular Processes","Cell motility","sly04814","Motor proteins","1/3","80/11892",0.0125,49.55,6.92101295201453,0.0200478475825956,0.0300717713738934,0.00527574936384094,"101245463",1,"root_cond_Endodermis_down"
