solyc_nover,leaf_light_lfc,leaf_light_padj,leaf_int_lfc,leaf_int_padj,root_light_lfc,root_light_padj,root_int_lfc,root_int_padj,Mesophyll,Epidermis,Vascular,Trichome,Proliferating,Uncharacterized
Solyc06g084160,0.216251684643286,0.0646060913524001,-0.341897697911273,0.0364477223411398,0.0026091870486778,0.999960910744343,-0.0004980344097735,0.999973171687554,0.102354579,0.058157802499999994,0.0889709,0.11233025,0.04199501,0.12941976
Solyc06g084190,0.584365997994358,0.0004930444371499,-1.19788040822569,2.97034593906569e-06,-0.00419403910047,0.999960910744343,-0.0002147095486684,0.999973171687554,0.0033088632200000004,0.0309777005,0.00475692,0.043625303,0.00262646,0.0
Solyc06g084200,-0.541854476664865,0.183316997215862,0.219599887208374,0.636848450807251,-0.0111462961976068,0.999960910744343,-0.0002959705555402,0.999973171687554,0.0077510140000000005,0.011519060925,0.011813049,0.012323232,0.004504891,0.027584093
Solyc06g084210,-0.590268685910176,0.0022025372143724,0.502888347807838,0.0610950794582491,0.0030603329446203,0.999960910744343,6.76184502268793e-05,0.999973171687554,0.09547665920000001,0.10944470225,0.092667624,0.12812391,0.10778548,0.08769974
Solyc06g084220,0.596455789142812,0.0418914970183755,-0.597801731017686,0.121469474678223,-0.317404129482023,0.195264279734375,0.0001356051328789,0.999973171687554,0.0059783471200000006,0.007710923474999999,0.004671972,0.008272356,0.002245185,0.05350203
Solyc06g084230,0.13268731444077,0.507634949071796,-0.0225762445128324,0.94483470856423,0.0003915748900235,0.999960910744343,-0.0005618385890442,0.999973171687554,0.27904056400000005,0.1465748475,0.16381636,0.4840528,0.07363785,0.19275472
Solyc06g084240,-0.194403277291192,0.587992804126231,-0.422901027823028,,-0.289608793297004,0.302883574236643,0.0063891269377088,0.999973171687554,,,,,,
Solyc06g084250,-0.636231990270351,0.0525265351010024,0.947448937121255,0.034483255958453,-0.0105978712387139,0.999960910744343,0.0003309708045699,0.999973171687554,0.008257571459999998,0.0057131935025,0.008384856,0.0030392124,0.0010074929,0.015399303
Solyc06g084270,-1.22020506361514,0.0007681054685443,1.23935055669331,0.0131018969034238,0.0092330280751476,0.999960910744343,-0.0006223610711056,0.999973171687554,0.0848513494,0.03817892175,0.10905115,0.049030744,0.04052079,0.06453882
Solyc06g084290,0.68565782519061,0.0004089467170031,-1.29496945344298,1.48320764349432e-05,-1.15376203562515,0.003036181975191,0.0007012175756179,0.999973171687554,0.032075998640000006,0.019179323875,0.026212595,0.061950445,0.009676743,0.08462666
Solyc06g084310,-0.0022515102727966,0.994879663818007,-0.229472590372757,0.474023532597399,0.0027639093690654,0.999960910744343,-0.0006042958790692,0.999973171687554,0.129841063,0.06547677225,0.07731159,0.25881636,0.0648149,0.124899805
Solyc06g084320,-0.647180458031601,0.0752507405633751,0.399665107331022,0.32641102858807,0.0128313038078677,0.999960910744343,0.0008900712834731,0.999973171687554,0.04834747692,0.023036151025,0.0841509,0.0810705,0.0022999286,0.040209033
Solyc06g084330,-0.143016214192463,0.7021563483527,0.0478398174740416,,-0.0091789939907875,0.999960910744343,-0.000294704903033,0.999973171687554,0.007548162780000001,0.0034483458500000003,0.01900259,0.008726287,0.0006267218,0.010638311
Solyc06g084350,0.261641191711002,0.113847708272045,-0.358831555669816,0.120213038011649,9.59874855334863e-05,0.999960910744343,-0.0003473825581716,0.999973171687554,0.0858261206,0.0590178785,0.06489575,0.18282852,0.0381903,0.1480233
Solyc06g084380,0.282014929898228,0.443546630851003,-0.27863541440713,,0.0804416471781182,0.737837584248904,-0.0014118725642259,0.999973171687554,0.00028666806599999997,0.00042878253749999997,0.0009103243,0.00046190328,0.00023994088,0.0060671032
Solyc06g084400,0.4414422265141,0.0570303410673449,-0.341663207817849,0.264077894518393,-0.0023898852018266,0.999960910744343,-3.3178270059468e-05,0.999973171687554,0.0168881938,0.012184498,0.011303935,0.04035066,0.0092708785,0.04423503
Solyc06g084420,0.0065551235241433,0.988491101009542,0.171477232535571,0.708798512183277,-0.0197856583006696,0.999960910744343,0.0003278017366615,0.999973171687554,0.0,0.000228995135,0.0,0.004453793,0.0,0.0
Solyc06g084430,0.298579984268187,0.250384266729582,-0.173659422275803,0.613753801765723,-0.0756582050824869,0.657153990297502,0.0003122758313841,0.999973171687554,0.085602,0.0783525935,0.118587494,0.41194683,0.05241876,0.098749034
Solyc06g084440,0.318626916507727,0.093720301467448,-0.26726206138326,0.319680557202083,3.27905278079916e-05,0.999960910744343,-5.29198755695364e-05,0.999973171687554,0.051447218399999994,0.13658220775,0.2797649,0.09358227,0.032073636,0.13801016
Solyc06g084460,-1.1886753422632,0.0052027506912214,1.23095101884376,0.0298385811343895,0.0095859691341414,0.999960910744343,-0.0007618378947084,0.999973171687554,0.01365489936,0.0032977495500000004,0.006599384,0.01246864,0.003967724,0.0028130477
Solyc06g084470,-0.189633905451839,0.512261383872321,0.303780090743478,0.422146747548869,-0.0009371840344166,0.999960910744343,-0.0002214529172037,0.999973171687554,0.09168140159999999,0.0078943613,0.043893896,0.010801861,0.002078026,0.030399757
Solyc06g084480,0.252589691916098,0.373719032778517,-0.10572821658691,0.78694848931327,0.0210403360813929,0.973792408226418,-0.0004282602456962,0.999973171687554,0.059375427999999994,0.01359932225,0.05177525,0.029512579,0.012868645,0.034470957
Solyc06g084520,0.0887474163786866,0.438397499864122,-0.199413700302883,0.223449903916642,0.0022939584858881,0.999960910744343,-0.0001531687401277,0.999973171687554,0.150899948,0.21062017249999998,0.21565394,0.2401555,0.22751349,0.26081795
Solyc06g084530,-0.317164542149687,0.232690240917655,0.990893518822114,0.0259104859773426,0.0021755300546038,0.999960910744343,0.0001786967401234,0.999973171687554,0.190559058,0.1408558225,0.12332704,0.16302663,0.12506762,0.12947887
Solyc06g084540,0.495593060248877,0.0411364543128046,-0.538798862388497,0.107771764847388,-0.008148088303171,0.999960910744343,0.0002544600402059,0.999973171687554,0.0867678034,0.03555161975,0.051057536,0.055336297,0.054276597,0.04186759
Solyc06g084550,0.178307401262561,0.428328201242024,-0.123131933245864,0.697274716975875,-0.0024217395215277,0.999960910744343,0.0002512436474403,0.999973171687554,0.032417585799999996,0.02042828775,0.027863324,0.05413407,0.014036194,0.049657654
Solyc06g084570,0.323708970860833,0.0607799763005458,-0.370739841820187,0.119772911865913,-0.0069579311343995,0.979491476287733,3.97789553702481e-05,0.999973171687554,0.0108952805,0.008989167825,0.0069488036,0.014283355,0.009527524,0.0099811945
Solyc06g084590,0.2494251914371,0.106384997860346,-0.476272074199281,0.0275881333925635,0.0006728701524901,0.999960910744343,-0.0003990764250394,0.999973171687554,0.103144448,0.1125660715,0.101228856,0.08638271,0.1103267,0.08351568
Solyc06g084620,-0.1208906746255,0.747082997271937,0.177709112081061,0.709753362885356,,,,,,,,,,
Solyc06g084820,-2.67606293892682,6.34919337212235e-08,2.05342893791962,0.0020327400711907,0.0579822614986337,0.70116295472917,-0.0034649001780406,0.999973171687554,0.0028398684679999996,0.0078905798325,0.0012403044,0.001265293,0.0072633466,0.0
Solyc07g005000,0.0396702958217973,0.827761288220119,-0.221503980122434,0.320234165262718,6.12743297599181e-05,0.999960910744343,-0.0001184688600309,0.999973171687554,0.044184718,0.0369179475,0.039138682,0.05460647,0.05137145,0.11212059
Solyc07g005030,-0.967718933357148,0.0034023413005366,0.705834583427115,0.0827122552975903,-0.0021704378569655,0.999960910744343,-5.6058562536926e-05,0.999973171687554,0.0342278072,0.0296208315,0.037089415,0.1038186,0.055917695,0.101053454
